date,close,Name
2018-01-16,112.27,JPM
2018-01-17,112.99,JPM
2018-01-18,113.26,JPM
2018-01-19,113.01,JPM
2018-01-22,114.33,JPM
2018-01-23,114.21,JPM
2018-01-24,115.67,JPM
2018-01-25,115.7,JPM
2018-01-26,116.32,JPM
2018-01-29,116.2,JPM
2018-01-30,115.11,JPM
2018-01-31,115.67,JPM
2018-02-01,116.87,JPM
2018-02-02,114.28,JPM
2018-02-05,108.8,JPM
2018-02-06,NA,JPM
2018-02-07,112.87,JPM
2018-01-02,49.12,JWN
2018-01-03,48.65,JWN
2018-01-04,48.06,JWN
2018-01-05,48.25,JWN
2018-01-08,48.27,JWN
2018-01-09,47.89,JWN
2018-01-10,49.2,JWN
2018-01-11,50.09,JWN
2018-01-12,51.82,JWN
2018-01-16,50.18,JWN
2018-01-17,50.97,JWN
2018-01-18,51.22,JWN
2018-01-19,52.0,JWN
2018-01-22,52.82,JWN
2018-01-23,52.0,JWN
2018-01-24,NA,JWN
2018-01-25,49.5,JWN
2018-01-26,50.4,JWN
2018-01-29,50.89,JWN
2018-01-30,NA,JWN
2018-01-31,49.31,JWN
2018-02-01,49.23,JWN
2018-02-02,47.85,JWN
2018-02-05,46.64,JWN
2018-02-06,48.26,JWN
2018-02-07,49.3,JWN
2018-01-02,20.17,KEY
2018-01-03,NA,KEY
2018-01-04,20.32,KEY
2018-01-05,20.33,KEY
2018-01-08,NA,KEY
2018-01-09,20.74,KEY
2018-01-10,21.01,KEY
2018-01-11,21.19,KEY
2018-01-12,21.42,KEY
2018-01-16,21.32,KEY
2018-01-17,21.26,KEY
2018-01-18,20.82,KEY
2018-01-19,21.16,KEY
2018-01-22,21.39,KEY
2018-01-23,21.61,KEY
2018-01-24,21.73,KEY
2018-01-25,21.67,KEY
2018-01-26,21.83,KEY
2018-01-29,21.8,KEY
2018-01-30,21.43,KEY
2018-01-31,21.4,KEY
2018-02-01,21.93,KEY
2018-02-02,21.76,KEY
2018-02-05,NA,KEY
2018-02-06,21.01,KEY
2018-02-07,21.13,KEY
2018-01-02,NA,KHC
2018-01-03,77.01,KHC
2018-01-04,77.91,KHC
2018-01-05,77.84,KHC
2018-01-08,78.48,KHC
2018-01-09,78.62,KHC
2018-01-10,77.89,KHC
2018-01-11,NA,KHC
2018-01-12,77.35,KHC
2018-01-16,78.64,KHC
2018-01-17,80.07,KHC
2018-01-18,79.27,KHC
2018-01-19,79.66,KHC
2018-01-22,80.17,KHC
2018-01-23,80.27,KHC
2018-01-24,79.86,KHC
2018-01-25,79.67,KHC
2018-01-26,79.39,KHC
2018-01-29,78.42,KHC
2018-01-30,NA,KHC
2018-01-31,NA,KHC
2018-02-01,78.57,KHC
2018-02-02,77.19,KHC
2018-02-05,74.26,KHC
2018-02-06,NA,KHC
2018-02-07,73.55,KHC
2018-01-02,NA,KIM
2018-01-03,18.0,KIM
2018-01-04,17.68,KIM
2018-01-05,17.7,KIM
2018-01-08,17.8,KIM
2018-01-09,17.22,KIM
2018-01-10,NA,KIM
2018-01-11,17.01,KIM
2018-01-12,16.76,KIM
2018-01-16,16.55,KIM
2018-01-17,16.6,KIM
2018-01-18,16.47,KIM
2018-01-19,16.41,KIM
2018-01-22,16.58,KIM
2018-01-23,16.6,KIM
2018-01-24,16.33,KIM
2018-01-25,16.19,KIM
2018-01-26,15.99,KIM
2018-01-29,15.93,KIM
2018-01-30,15.6,KIM
2018-01-31,NA,KIM
2018-02-01,15.36,KIM
2018-02-02,14.87,KIM
2018-02-05,14.66,KIM
2018-02-06,14.67,KIM
2018-02-07,14.52,KIM
2018-01-02,NA,KLAC
2018-01-03,107.37,KLAC
2018-01-04,107.56,KLAC
2018-01-05,109.86,KLAC
